Policy code,Name,Developer,Development method,Rationale,0_RfR 0,1_RfR 0,2_RfR 0,3_RfR 0,4_RfR 0,EWS_DaysToThreat,A.1_DikeIncrease 0,A.2_DikeIncrease 0,A.3_DikeIncrease 0,A.4_DikeIncrease 0,A.5_DikeIncrease 0,Type,Code
Policy 1,,,,extra protection in upper boundary,1,0,0,0,0,0,5,0,0,0,0,Exploration,
Policy 2,,,,extra protection in lower boundary,0,0,0,0,1,0,0,0,0,0,5,Exploration,
Policy 3,,,,extra protection in random locations,0,1,1,1,0,0,0,0,5,0,0,Exploration,
Baseline,Baseline,Gelderland,Empirically as part of the open exploration phase,No new measures,0,0,0,0,0,0,0,0,0,0,0,Exploration,"    Policy(
        ""Baseline"",
        **dict(
            get_do_nothing_dict(),
            **{""0_RfR 0"": 0, ""1_RfR 0"": 0,""2_RfR 0"": 0, ""3_RfR 0"": 0, ""4_RfR 0"": 0,
               ""A.1_DikeIncrease 0"": 0,""A.2_DikeIncrease 0"": 0,""A.3_DikeIncrease 0"": 0,""A.4_DikeIncrease 0"": 0, ""A.5_DikeIncrease 0"": 0,
               'EWS_DaysToThreat':0
               })),"
DI max,Maximum Dike Increase,Gelderland,Empirically as part of the open exploration phase,Maximum dike increase in every Dike Ring.,0,0,0,0,0,0,10,10,10,10,10,Exploration,"    Policy(
        ""DI max"",
        **dict(
            get_do_nothing_dict(),
            **{""A.1_DikeIncrease 0"": 5,""A.2_DikeIncrease 0"": 5,""A.3_DikeIncrease 0"": 5,""A.4_DikeIncrease 0"": 5, ""A.5_DikeIncrease 0"": 5}
        )),"
RfR max,Maximum Room For the River,Gelderland,Empirically as part of the open exploration phase,Maximum Room for the river for the 0 whatever,1,1,1,1,1,0,0,0,0,0,0,Exploration,"        Policy(
        ""RfR max"",
        **dict(
            get_do_nothing_dict(),
            **{""0_RfR 0"": 1, ""1_RfR 0"": 1,""2_RfR 0"": 1, ""3_RfR 0"": 1, ""4_RfR 0"": 1,
               ""A.1_DikeIncrease 0"": 0,""A.2_DikeIncrease 0"": 0,""A.3_DikeIncrease 0"": 0,""A.4_DikeIncrease 0"": 0, ""A.5_DikeIncrease 0"": 0,
               'EWS_DaysToThreat':0
               })),"
EWS max,Maximum Early Warning Systems,Gelderland,Empirically as part of the open exploration phase,4 days to threat in the region,0,0,0,0,0,4,0,0,0,0,0,Exploration,"        Policy(
        ""EWS max"",
        **dict(
            get_do_nothing_dict(),
            **{""0_RfR 0"": 0, ""1_RfR 0"": 0, ""2_RfR 0"": 0, ""3_RfR 0"": 0, ""4_RfR 0"": 0,
               ""A.1_DikeIncrease 0"": 0,""A.2_DikeIncrease 0"": 0,""A.3_DikeIncrease 0"": 0,""A.4_DikeIncrease 0"": 0, ""A.5_DikeIncrease 0"": 0,
               'EWS_DaysToThreat':4
               })),"
All Max,Every Policy at maximum level,Gelderland,Empirically as part of the open exploration phase,Maximum values for all the levers,1,1,1,1,1,4,10,10,10,10,10,Exploration,"        Policy(
        ""All max"",
        **dict(
            get_do_nothing_dict(),
            **{""0_RfR 0"": 1, ""1_RfR 0"": 1, ""2_RfR 0"": 1, ""3_RfR 0"": 1, ""4_RfR 0"": 1,
               ""A.1_DikeIncrease 0"": 5,""A.2_DikeIncrease 0"": 5,""A.3_DikeIncrease 0"": 5,""A.4_DikeIncrease 0"": 5, ""A.5_DikeIncrease 0"": 5,
               'EWS_DaysToThreat':4
               })),"
Risk_transfer_RfR_1,RfR risk transfer exploration s1,Gelderland,Exploration,Explore how a progressive implementation of the infrastructure measures transfer risks downstream.,1,0,0,0,0,0,0,0,0,0,0,Exploration,
Risk_transfer_2,RfR risk transfer exploration s2,Gelderland,Exploration,Explore how a progressive implementation of the infrastructure measures transfer risks downstream.,1,1,0,0,0,0,0,0,0,0,0,Exploration,
Risk_transfer_3,RfR risk transfer exploration s3,Gelderland,Exploration,Explore how a progressive implementation of the infrastructure measures transfer risks downstream.,1,1,1,0,0,0,0,0,0,0,0,Exploration,
Risk_transfer_4,RfR risk transfer exploration s4,Gelderland,Exploration,Explore how a progressive implementation of the infrastructure measures transfer risks downstream.,1,1,1,1,0,0,0,0,0,0,0,Exploration,
Risk_transfer_DI_1,Dike Increase risk transfer exploration s1,Gelderland,Exploration,Explore how a progressive implementation of the infrastructure measures transfer risks downstream.,0,0,0,0,0,0,10,0,0,0,0,Exploration,
Risk_transfer_DI_2,Dike Increase risk transfer exploration s2,Gelderland,Exploration,Explore how a progressive implementation of the infrastructure measures transfer risks downstream.,0,0,0,0,0,0,10,10,0,0,0,Exploration,
Risk_transfer_DI_3,Dike Increase risk transfer exploration s3,Gelderland,Exploration,Explore how a progressive implementation of the infrastructure measures transfer risks downstream.,0,0,0,0,0,0,10,10,10,0,0,Exploration,
Risk_transfer_DI_4,Dike Increase risk transfer exploration s4,Gelderland,Exploration,Explore how a progressive implementation of the infrastructure measures transfer risks downstream.,0,0,0,0,0,0,10,10,10,10,0,Exploration,
Comb Green,Combination of measures with a green approach,Gelderland,Empirically as part of the open exploration phase,The region adopts a green approach just protecting their urban DR,1,1,0,1,0,0,0,0,4,0,4,Combination,"        Policy(
        ""Comb Green"",
        **dict(
            get_do_nothing_dict(),
            **{""0_RfR 0"": 1, ""1_RfR 0"": 1,""2_RfR 0"": 0, ""3_RfR 0"": 1, ""4_RfR 0"": 1,
               ""A.1_DikeIncrease 0"": 0,""A.2_DikeIncrease 0"": 0,""A.3_DikeIncrease 0"": 4,""A.4_DikeIncrease 0"": 0, ""A.5_DikeIncrease 0"": 0,
               'EWS_DaysToThreat':0
               })),"
Comb Grey,Combination of measures with a grey approach,Gelderland,Empirically as part of the open exploration phase,The region adopts a grey approach just protecting their urban DR,0,1,0,1,0,0,4,0,8,0,8,Combination,"        Policy(
        ""Comb Grey"",
        **dict(
            get_do_nothing_dict(),
            **{""0_RfR 0"": 0, ""1_RfR 0"": 1,""2_RfR 0"": 0, ""3_RfR 0"": 1, ""4_RfR 0"": 0,
               ""A.1_DikeIncrease 0"": 3,""A.2_DikeIncrease 0"": 0,""A.3_DikeIncrease 0"": 4,""A.4_DikeIncrease 0"": 0, ""A.5_DikeIncrease 0"": 4,
               'EWS_DaysToThreat':0
               })),"
Comb GreenEWS,Combination of measures with a green approach,Gelderland,Empirically as part of the open exploration phase,The region adopts a green approach with EWS just protecting their urban DR,0,1,0,1,0,4,0,0,4,0,4,Combination,"        Policy(
        ""Comb GreenEWS"",
        **dict(
            get_do_nothing_dict(),
            **{""0_RfR 0"": 1, ""1_RfR 0"": 1,""2_RfR 0"": 0, ""3_RfR 0"": 1, ""4_RfR 0"": 1,
               ""A.1_DikeIncrease 0"": 0,""A.2_DikeIncrease 0"": 0,""A.3_DikeIncrease 0"": 4,""A.4_DikeIncrease 0"": 0, ""A.5_DikeIncrease 0"": 0,
               'EWS_DaysToThreat':2
               }))  "
DR12_v1_P(0),Optimized Policy 0 of DR1&2,Dike Ring 1&2,Optimization Run for reducing risks for DR1&2,Result of an optimization algorithm seeking to reduce risks for that DR. The current model runs only represent the values for the planning step 0.,1,0,0,0,0,0,0,4,9,7,7,Optimization proposal,"        Policy(
        ""Comb GreenEWS"",
        **dict(
            get_do_nothing_dict(),
            **{""0_RfR 0"": 1, ""1_RfR 0"": 1,""2_RfR 0"": 0, ""3_RfR 0"": 1, ""4_RfR 0"": 1,
               ""A.1_DikeIncrease 0"": 0,""A.2_DikeIncrease 0"": 0,""A.3_DikeIncrease 0"": 4,""A.4_DikeIncrease 0"": 0, ""A.5_DikeIncrease 0"": 0,
               'EWS_DaysToThreat':2
               }))  "
DR12_v1_P(1),Optimized Policy 1 of DR1&2,Dike Ring 1&2,Optimization Run for reducing risks for DR1&3,Result of an optimization algorithm seeking to reduce risks for that DR. The current model runs only represent the values for the planning step 0.,0,0,0,0,0,1,2,4,7,9,6,Optimization proposal,"        Policy(
        ""Comb GreenEWS"",
        **dict(
            get_do_nothing_dict(),
            **{""0_RfR 0"": 1, ""1_RfR 0"": 1,""2_RfR 0"": 0, ""3_RfR 0"": 1, ""4_RfR 0"": 1,
               ""A.1_DikeIncrease 0"": 0,""A.2_DikeIncrease 0"": 0,""A.3_DikeIncrease 0"": 4,""A.4_DikeIncrease 0"": 0, ""A.5_DikeIncrease 0"": 0,
               'EWS_DaysToThreat':2
               }))  "
DR12_v1_P(2),Optimized Policy 2 of DR1&2,Dike Ring 1&2,Optimization Run for reducing risks for DR1&4,Result of an optimization algorithm seeking to reduce risks for that DR. The current model runs only represent the values for the planning step 0.,1,0,1,0,0,1,0,3,5,5,6,Optimization proposal,
DR12_v1_P(3),Optimized Policy 3 of DR1&2,Dike Ring 1&2,Optimization Run for reducing risks for DR1&5,Result of an optimization algorithm seeking to reduce risks for that DR. The current model runs only represent the values for the planning step 0.,0,0,1,0,0,1,2,3,10,7,7,Optimization proposal,
GEL_OP_v1(0),Least expensive,Gelderland,Optimizing for damage for all DR and total costs using default scenario,"From the 200 policies resulting from our optimization, 11 had an area of dike increase of 60% or less. This one was the cheapest.",1,0,0,1,0,4,4,8,0,0,4,Optimization proposal,
GEL_OP_v1(1),Null damage,Gelderland,Optimizing for damage for all DR and total costs using default scenario,"From the 200 policies resulting from our optimization, 11 had an area of dike increase of only 60%. This one generated null damage in all DR showing the limitations of an MOO. We want to further explore uncertainties for this one.",0,0,0,0,1,0,8,4,5,0,0,Optimization proposal,
GEL_OP_v1(2),Compromise,Gelderland,Optimizing for damage for all DR and total costs using default scenario,"From the 200 policies resulting from our optimization, 11 had an area of dike increase of only 60%. This one had a median cost and good results",1,1,1,1,0,3,6,5,0,5,0,Optimization proposal,
GEL_OP_v1(3),Most expensive,Gelderland,Optimizing for damage for all DR and total costs using default scenario,"From the 200 policies resulting from our optimization, 11 had an area of dike increase of only 60%. This one was the most expensive.",1,1,1,0,1,3,10,0,8,10,0,Optimization proposal,
RfR-Ge DI-Ov max,RfR Gelderland & Dike Increase in Overijssel,RWS analyst group 25,Empirically as part of the open exploration phase,Explore what would happen and how are risks transfer between the Provinces.,1,1,1,0,0,0,0,0,0,10,10,Empirical proposal,
Di-Ge RfR-Ov max,Maximum dike increase in Gelderland and RfR in Overijssel,RWS analyst group 25,Empirically as part of the open exploration phase,Explore what would happen and how are risks transfer between the Provinces.,0,0,0,1,1,0,10,10,10,0,0,Empirical proposal,"        Policy(
        ""Di-Ge RfR-Ov max"",
        **dict(
            get_do_nothing_dict(),
            **{""0_RfR 0"": 0, ""1_RfR 0"": 0,""2_RfR 0"": 0, ""3_RfR 0"": 1, ""4_RfR 0"": 1,
               ""A.1_DikeIncrease 0"": 5,""A.2_DikeIncrease 0"": 5,""A.3_DikeIncrease 0"": 5,""A.4_DikeIncrease 0"": 0, ""A.5_DikeIncrease 0"": 0,
               'EWS_DaysToThreat':0
               })),"
RWS_25 mixed,"Mixed policy: RfR 2&4, Dike10dm 1,3,5",RWS analyst group 25,Empirically as part of the open exploration phase,Explore what would happen and how are risks transfer between the Provinces.,0,0,1,0,1,2,10,0,10,0,10,Empirical proposal,
RWS 1 v1,"RFR DR2&4, Dike increase everywhere else",RWS,Empirically as part of the open exploration phase,Explore what would happen and how are risks transferred between the Provinces,0,1,0,1,0,2,10,0,10,0,10,Empirical proposal,"Policy(
        ""RWS 1 v1"",
        **dict(
            get_do_nothing_dict(),
            **{""0_RfR 0"": 0, ""1_RfR 0"": 1,""2_RfR 0"": 0, ""3_RfR 0"": 1, ""4_RfR 0"": 0,
               ""A.1_DikeIncrease 0"": 10,""A.2_DikeIncrease 0"": 0,""A.3_DikeIncrease 0"": 10,""A.4_DikeIncrease 0"": 0, ""A.5_DikeIncrease 0"": 10,
               'EWS_DaysToThreat':2
               })),"
RWS 2 v1,"RFR DR2&4, Dike increase in DR1 and 5",RWS,Empirically as part of the open exploration phase,Explore what would happen and how are risks transferred between the Provinces,0,1,0,1,0,2,10,0,0,0,10,Empirical proposal,"Policy(
        ""RWS 2 v1"",
        **dict(
            get_do_nothing_dict(),
            **{""0_RfR 0"": 0, ""1_RfR 0"": 1,""2_RfR 0"": 0, ""3_RfR 0"": 1, ""4_RfR 0"": 0,
               ""A.1_DikeIncrease 0"": 10,""A.2_DikeIncrease 0"": 0,""A.3_DikeIncrease 0"": 0,""A.4_DikeIncrease 0"": 1, ""A.5_DikeIncrease 0"": 10,
               'EWS_DaysToThreat':2
               })),"
RWS_analysts_1_v1,"RFR DR1, Dike increase DR3 and DR5",RWS_analysts_1,,,1,0,0,0,0,0,0,0,5,0,5,Empirical proposal,
RWS_analysts_1_v2,"RFR DR1&2, Dike increase DR3&5",RWS_analysts_2,,,1,1,0,0,0,0,0,0,5,0,5,Empirical proposal,
GEL_analysts_1,MOEA outcome 1,Gel_analysts,"PRIM, MOEA",,0,0,1,1,0,1,4,0,2,2,0,Optimization proposal,
GEL_analysts_2,MOEA outcome 2,Gel_analysts,"PRIM, MOEA",,1,0,1,1,0,3,2,0,3,3,0,Optimization proposal,
GEL_analysts_3,MOEA outcome 3,Gel_analysts,"PRIM, MOEA",,0,0,0,0,0,1,4,2,3,0,3,Optimization proposal,
OvI_low,Overijssel proposal,Overijssel Province,Empirically,Based on risk assessment and environmental concerns for both provinces and lobby groups.,1,0,0,1,0,0,0,1,3,0,3,Empirical proposal,
OvI_mid,Overijssel proposal,Overijssel Province,Empirically,Based on risk assessment and environmental concerns for both provinces and lobby groups.,1,0,0,1,0,0,0,2,5,0,5,Empirical proposal,
OvI_high,Overijssel proposal,Overijssel Province,Empirically,Based on risk assessment and socioenvionrmental concerns for both provinces and lobby groups.,1,0,0,1,0,0,0,3,8,0,8,Empirical proposal,
Joint_Gel&Ovi_RiskReduction,,,,,1,0,0,1,0,0,2,4,7,2,7,Empyrical proposal,
Joint_Gel&Ovi_Env,,,,,1,1,0,1,0,0,2,2,7,2,7,Empyrical proposal,
Joint_Gel&Ovi_LowCost,,,,,1,0,0,0,0,0,0,7,7,3,7,Empyrical proposal,